timestamp,air_temp,air_humidity,soil_temp,soil_moisture,light_lux,wind_speed
2026-03-04T21:59:50.205007,29.5,70.0,26.0,47.0,15000,4.1
2026-03-05T21:59:50.205007,29.0,66.0,26.6,45.0,14000,3.9
2026-03-06T21:59:50.205007,28.5,67.0,26.3,57.0,14500,3.7
2026-03-07T21:59:50.205007,28.0,68.0,26.0,55.0,15000,3.5
2026-03-08T21:59:50.205007,29.5,69.0,26.6,53.0,14000,4.1
2026-03-09T21:59:50.205007,29.0,70.0,26.3,51.0,14500,3.9
2026-03-10T21:59:50.205007,28.5,66.0,26.0,49.0,15000,3.7
2026-03-11T21:59:50.205007,28.0,67.0,26.6,47.0,14000,3.5
2026-03-12T21:59:50.205007,29.5,68.0,26.3,45.0,14500,4.1
2026-03-13T21:59:50.205007,29.0,69.0,26.0,57.0,15000,3.9
2026-03-14T21:59:50.205007,28.5,70.0,26.6,55.0,14000,3.7
2026-03-15T21:59:50.205007,28.0,66.0,26.3,53.0,14500,3.5
2026-03-16T21:59:50.205007,29.5,67.0,26.0,51.0,15000,4.1
2026-03-17T21:59:50.205007,29.0,68.0,26.6,49.0,14000,3.9
2026-03-18T21:59:50.205007,28.5,69.0,26.3,47.0,14500,3.7
